Date,Hour,Month,Month_Name,Week,DayOfWeek,Total_Imp,Total_Exp,Total_Flow,Net_Export,Ontario_Demand,Market_Demand
2025-01-01,1,1,Jan,1,Wednesday,94,3502,3843,3408,13887,17247
2025-01-01,2,1,Jan,1,Wednesday,94,3774,4127,3680,13722,17355
2025-01-01,3,1,Jan,1,Wednesday,94,4129,4476,4035,13688,17638
2025-01-01,4,1,Jan,1,Wednesday,94,3587,4097,3493,13613,17065
2025-01-01,5,1,Jan,1,Wednesday,94,4071,4463,3977,13593,17498
2025-01-01,6,1,Jan,1,Wednesday,94,3864,4335,3770,13674,17379
2025-01-01,7,1,Jan,1,Wednesday,9,3815,4290,3806,13957,17627
2025-01-01,8,1,Jan,1,Wednesday,9,3978,4466,3969,14315,18136
2025-01-01,9,1,Jan,1,Wednesday,9,3736,4174,3727,14604,18173
2025-01-01,10,1,Jan,1,Wednesday,9,3292,3730,3283,15056,18182
2025-01-01,11,1,Jan,1,Wednesday,9,2754,3246,2745,15521,18121
2025-01-01,12,1,Jan,1,Wednesday,149,2493,2900,2344,15800,18156
2025-01-01,13,1,Jan,1,Wednesday,9,2619,3213,2610,15941,18432
2025-01-01,14,1,Jan,1,Wednesday,9,2820,3306,2811,15977,18674
2025-01-01,15,1,Jan,1,Wednesday,9,3187,3659,3178,16066,19116
2025-01-01,16,1,Jan,1,Wednesday,9,3415,3873,3406,16321,19592
2025-01-01,17,1,Jan,1,Wednesday,9,3468,4054,3459,17058,20346
2025-01-01,18,1,Jan,1,Wednesday,9,2890,3427,2881,17519,20276
2025-01-01,19,1,Jan,1,Wednesday,9,3460,3992,3451,17454,20762
2025-01-01,20,1,Jan,1,Wednesday,9,3540,4090,3531,17131,20519
2025-01-01,21,1,Jan,1,Wednesday,9,3602,4107,3593,16701,20147
2025-01-01,22,1,Jan,1,Wednesday,9,3539,4151,3530,16159,19572
2025-01-01,23,1,Jan,1,Wednesday,9,4055,4532,4046,15410,19304
2025-01-01,24,1,Jan,1,Wednesday,94,3670,4080,3576,14772,18292
2025-01-02,1,1,Jan,1,Thursday,94,3819,4189,3725,14209,17887
2025-01-02,2,1,Jan,1,Thursday,94,4123,4518,4029,14045,18015
2025-01-02,3,1,Jan,1,Thursday,94,4149,4602,4055,13934,17930
2025-01-02,4,1,Jan,1,Thursday,94,4216,4657,4122,13903,17965
2025-01-02,5,1,Jan,1,Thursday,94,4226,4778,4132,14059,18137
2025-01-02,6,1,Jan,1,Thursday,94,4354,4849,4260,14501,18709
2025-01-02,7,1,Jan,1,Thursday,16,4087,4600,4071,15408,19397
2025-01-02,8,1,Jan,1,Thursday,9,4080,4630,4071,16521,20508
2025-01-02,9,1,Jan,1,Thursday,9,4121,4562,4112,16931,20949
2025-01-02,10,1,Jan,1,Thursday,9,3888,4365,3879,17278,21069
2025-01-02,11,1,Jan,1,Thursday,9,3854,4340,3845,17375,21129
2025-01-02,12,1,Jan,1,Thursday,9,3786,4249,3777,17486,21156
2025-01-02,13,1,Jan,1,Thursday,9,3398,3908,3389,17689,20989
2025-01-02,14,1,Jan,1,Thursday,9,3477,4009,3468,17817,21194
2025-01-02,15,1,Jan,1,Thursday,9,3503,3967,3494,17851,21251
2025-01-02,16,1,Jan,1,Thursday,9,3363,3851,3354,18167,21424
2025-01-02,17,1,Jan,1,Thursday,9,3313,3834,3304,18780,21999
2025-01-02,18,1,Jan,1,Thursday,152,3588,3991,3436,19450,22929
2025-01-02,19,1,Jan,1,Thursday,12,3519,4106,3507,19226,22631
2025-01-02,20,1,Jan,1,Thursday,9,3343,3871,3334,18901,22143
2025-01-02,21,1,Jan,1,Thursday,9,3618,4180,3609,18759,22271
2025-01-02,22,1,Jan,1,Thursday,9,3874,4511,3865,18062,21798
2025-01-02,23,1,Jan,1,Thursday,9,3340,3828,3331,16965,20202
2025-01-02,24,1,Jan,1,Thursday,94,3699,4115,3605,16192,19734
2025-01-03,1,1,Jan,1,Friday,94,3210,3589,3116,15535,18592
2025-01-03,2,1,Jan,1,Friday,94,3180,3600,3086,15434,18472
2025-01-03,3,1,Jan,1,Friday,94,3314,3751,3220,15284,18432
2025-01-03,4,1,Jan,1,Friday,94,3039,3453,2945,15294,18187
2025-01-03,5,1,Jan,1,Friday,94,3159,3578,3065,15521,18540
2025-01-03,6,1,Jan,1,Friday,94,3402,3871,3308,16013,19244
2025-01-03,7,1,Jan,1,Friday,9,2873,3615,2864,16916,19661
2025-01-03,8,1,Jan,1,Friday,9,3349,3817,3340,17674,20878
2025-01-03,9,1,Jan,1,Friday,9,3347,3779,3338,18179,21390
2025-01-03,10,1,Jan,1,Friday,11,3592,4114,3581,18431,21876
2025-01-03,11,1,Jan,1,Friday,9,3560,4119,3551,18185,21615
2025-01-03,12,1,Jan,1,Friday,9,3767,4295,3758,18059,21676
2025-01-03,13,1,Jan,1,Friday,9,3663,4110,3654,17940,21451
2025-01-03,14,1,Jan,1,Friday,9,3616,4134,3607,17771,21223
2025-01-03,15,1,Jan,1,Friday,9,3306,3728,3297,17719,20877
2025-01-03,16,1,Jan,1,Friday,9,3215,3561,3206,18062,21129
2025-01-03,17,1,Jan,1,Friday,152,3170,3437,3018,18857,21903
2025-01-03,18,1,Jan,1,Friday,152,3624,3908,3472,19616,23086
2025-01-03,19,1,Jan,1,Friday,11,3502,3960,3491,19462,22824
2025-01-03,20,1,Jan,1,Friday,9,3823,4260,3814,19223,22888
2025-01-03,21,1,Jan,1,Friday,9,3710,4153,3701,18973,22525
2025-01-03,22,1,Jan,1,Friday,9,3532,4008,3523,18326,21716
2025-01-03,23,1,Jan,1,Friday,9,3559,4144,3550,17628,21038
2025-01-03,24,1,Jan,1,Friday,94,3554,3974,3460,16694,20103
2025-01-04,1,1,Jan,1,Saturday,192,3607,3975,3415,16096,19548
2025-01-04,2,1,Jan,1,Saturday,192,3529,3865,3337,15653,19043
2025-01-04,3,1,Jan,1,Saturday,192,3688,3959,3496,15450,18998
2025-01-04,4,1,Jan,1,Saturday,192,3919,4227,3727,15449,19236
2025-01-04,5,1,Jan,1,Saturday,192,4205,4474,4013,15433,19469
2025-01-04,6,1,Jan,1,Saturday,94,3751,4136,3657,15656,19267
2025-01-04,7,1,Jan,1,Saturday,9,3995,4567,3986,16193,20063
2025-01-04,8,1,Jan,1,Saturday,9,4173,4684,4164,16901,20918
2025-01-04,9,1,Jan,1,Saturday,16,4042,4657,4026,17361,21239
2025-01-04,10,1,Jan,1,Saturday,9,3696,4212,3687,17517,21049
2025-01-04,11,1,Jan,1,Saturday,9,3251,3767,3242,17823,20927
2025-01-04,12,1,Jan,1,Saturday,9,3154,3609,3145,18054,21056
2025-01-04,13,1,Jan,1,Saturday,9,2939,3450,2930,18433,21234
2025-01-04,14,1,Jan,1,Saturday,9,3050,3619,3041,18489,21388
2025-01-04,15,1,Jan,1,Saturday,9,2830,3338,2821,18463,21151
2025-01-04,16,1,Jan,1,Saturday,9,2946,3483,2937,18645,21456
2025-01-04,17,1,Jan,1,Saturday,9,3297,3766,3288,19177,22351
2025-01-04,18,1,Jan,1,Saturday,9,3792,4315,3783,19983,23633
2025-01-04,19,1,Jan,1,Saturday,9,4013,4601,4004,19717,23577
2025-01-04,20,1,Jan,1,Saturday,9,3964,4596,3955,19248,23070
2025-01-04,21,1,Jan,1,Saturday,240,3728,4163,3488,18629,22207
2025-01-04,22,1,Jan,1,Saturday,116,3368,3803,3252,18036,21263
2025-01-04,23,1,Jan,1,Saturday,66,3084,3618,3018,17294,20237
2025-01-04,24,1,Jan,1,Saturday,166,3198,3563,3032,16637,19695
2025-01-05,1,1,Jan,1,Sunday,450,3469,3564,3019,16021,19341
2025-01-05,2,1,Jan,1,Sunday,594,3605,3486,3011,15626,19082
2025-01-05,3,1,Jan,1,Sunday,231,3610,3873,3379,15499,18979
2025-01-05,4,1,Jan,1,Sunday,162,3902,4262,3740,15411,19165
2025-01-05,5,1,Jan,1,Sunday,224,3897,4198,3673,15397,19127
2025-01-05,6,1,Jan,1,Sunday,182,3494,3787,3312,15529,18870
2025-01-05,7,1,Jan,1,Sunday,281,3333,3595,3052,15864,19062
2025-01-05,8,1,Jan,1,Sunday,165,3688,3990,3523,16583,20125
2025-01-05,9,1,Jan,1,Sunday,303,3776,3937,3473,17181,20809
2025-01-05,10,1,Jan,1,Sunday,185,3806,4249,3621,17727,21386
2025-01-05,11,1,Jan,1,Sunday,60,3704,4146,3644,18029,21581
2025-01-05,12,1,Jan,1,Sunday,55,3470,4001,3415,18325,21652
2025-01-05,13,1,Jan,1,Sunday,55,3434,3928,3379,18262,21556
2025-01-05,14,1,Jan,1,Sunday,60,3439,3873,3379,18309,21601
2025-01-05,15,1,Jan,1,Sunday,108,3234,3579,3126,18475,21569
2025-01-05,16,1,Jan,1,Sunday,313,3248,3410,2935,18983,22109
2025-01-05,17,1,Jan,1,Sunday,1462,3719,2756,2257,19799,23376
2025-01-05,18,1,Jan,1,Sunday,2315,3788,2135,1473,20626,24275
2025-01-05,19,1,Jan,1,Sunday,2387,3946,2134,1559,20167,23959
2025-01-05,20,1,Jan,1,Sunday,2048,3838,2396,1790,19686,23373
2025-01-05,21,1,Jan,1,Sunday,1390,3784,2906,2394,19256,22894
2025-01-05,22,1,Jan,1,Sunday,1026,3794,3310,2768,18602,22230
2025-01-05,23,1,Jan,1,Sunday,281,3087,3398,2806,17721,20684
2025-01-05,24,1,Jan,1,Sunday,498,3282,3358,2784,16885,20017
2025-01-06,1,1,Jan,2,Monday,273,2997,3236,2724,16259,19099
2025-01-06,2,1,Jan,2,Monday,101,2810,3184,2709,15904,18567
2025-01-06,3,1,Jan,2,Monday,25,2678,3135,2653,15875,18413
2025-01-06,4,1,Jan,2,Monday,40,2757,3308,2717,16010,18620
2025-01-06,5,1,Jan,2,Monday,40,2748,3218,2708,16109,18712
2025-01-06,6,1,Jan,2,Monday,171,2754,3078,2583,16675,19285
2025-01-06,7,1,Jan,2,Monday,526,2816,2803,2290,17883,20561
2025-01-06,8,1,Jan,2,Monday,960,3069,2627,2109,19437,22368
2025-01-06,9,1,Jan,2,Monday,859,3223,2917,2364,19987,23088
2025-01-06,10,1,Jan,2,Monday,749,3614,3535,2865,20090,23572
2025-01-06,11,1,Jan,2,Monday,522,3578,3734,3056,20005,23459
2025-01-06,12,1,Jan,2,Monday,841,3560,3338,2719,19920,23390
2025-01-06,13,1,Jan,2,Monday,671,3625,3421,2954,19838,23375
2025-01-06,14,1,Jan,2,Monday,527,3684,3701,3157,19782,23384
2025-01-06,15,1,Jan,2,Monday,569,3909,3836,3340,19608,23423
2025-01-06,16,1,Jan,2,Monday,976,3898,3388,2922,19683,23482
2025-01-06,17,1,Jan,2,Monday,1076,3754,3135,2678,20364,23993
2025-01-06,18,1,Jan,2,Monday,547,2833,2771,2286,21159,23901
2025-01-06,19,1,Jan,2,Monday,357,2798,2997,2441,20993,23739
2025-01-06,20,1,Jan,2,Monday,980,3593,3072,2613,20560,24059
2025-01-06,21,1,Jan,2,Monday,1086,3209,2629,2123,20211,23352
2025-01-06,22,1,Jan,2,Monday,1102,3607,3059,2505,19587,23074
2025-01-06,23,1,Jan,2,Monday,328,3101,3412,2773,18498,21471
2025-01-06,24,1,Jan,2,Monday,112,2720,3256,2608,17369,19987
2025-01-07,1,1,Jan,2,Tuesday,225,2826,3108,2601,16677,19375
2025-01-07,2,1,Jan,2,Tuesday,305,3027,3235,2722,16306,19207
2025-01-07,3,1,Jan,2,Tuesday,275,3250,3469,2975,16125,19241
